"CAUnum96"	"CAUname96"	"NZDepCAU96 wt ave score"	"NZDepCAU96 wt ave scale"	"CAU urpop96"
586801	"Ashley Gorge"	941	3	1052.00
586802	"Oxford"	985	6	1476.00
586900	"Darfield"	949	4	1297.00
587010	"Kirwee"	903	1	2253.00
587020	"Burnham Military Camp"	947	4	1465.00
587100	"Malvern"	962	5	2515.00
587301	"Oaklands"	918	2	5376.00
587302	"Halswell South"	894	1	2082.00
587400	"Hornby North"	1012	7	2887.00
587500	"Hornby South"	1009	7	4888.00
587701	"Sockburn"	1000	6	5212.00
587702	"Wigram"	996	6	1346.00
587811	"Yaldhurst"	939	3	659.00
587812	"Broomfield"	1017	7	2468.00
587820	"Templeton"	1012	7	2837.00
587830	"Islington"	974	5	2189.00
587841	"Prebbleton"	927	2	1674.00
587842	"Halswell West"	921	2	315.00
587843	"Halswell East"	941	3	940.00
587844	"Westmorland"	883	1	1184.00
587902	"McLeans Island"	916	2	246.00
587903	"Kennedys Bush"	877	1	344.00
587904	"West Melton"	898	1	4079.00
587905	"Taitapu"	901	1	452.00
588101	"Redwood North"	936	3	3560.00
588102	"Redwood South"	944	3	2857.00
588200	"Styx Mill"	985	6	2305.00
588300	"Casebrook"	1061	9	2465.00
588400	"Sawyers Arms"	927	2	2633.00
588500	"Kaimahi"	935	3	4593.00
588600	"Harewood"	963	5	2751.00
588700	"Bishopdale"	945	4	2533.00
588800	"Russley"	920	2	2791.00
588900	"Burnside"	934	3	2291.00
589000	"Wairarapa"	967	5	1769.00
589100	"Jellie Park"	1103	9	2256.00
589200	"Bryndwr"	897	1	2795.00
589300	"Holmwood"	883	1	2349.00
589400	"Fendalton"	926	2	2703.00
589500	"Deans Bush"	893	1	1609.00
589601	"Hawthornden"	904	1	3166.00
589602	"Merrin"	915	2	1542.00
589700	"Westburn"	915	2	2709.00
589800	"Masham"	922	2	3005.00
589900	"Avonhead"	917	2	3474.00
590000	"Ilam"	943	3	4117.00
590100	"Upper Riccarton"	991	6	2517.00
590200	"Wharenui"	1018	7	2236.00
590300	"Middleton"	1072	9	815.00
590400	"Belfast"	962	5	3563.00
590500	"Marshland"	923	2	4376.00
590601	"Styx"	973	5	2537.00
590602	"Parklands"	959	4	5757.00
590700	"Riccarton West"	1004	7	3886.00
590800	"Riccarton"	1008	7	3355.00
590900	"Riccarton South"	1075	9	370.00
591101	"Cashmere West"	888	1	3112.00
591102	"Cashmere East"	885	1	3013.00
591200	"Rapaki Track"	911	1	1492.00
591300	"Heathcote Valley"	952	4	1494.00
591500	"Cathedral Square"	1034	8	832.00
591600	"Hagley Park"	1018	7	1588.00
591700	"Avon Loop"	1073	9	4176.00
591800	"Northcote"	1003	6	2320.00
591900	"Papanui"	947	4	3331.00
592000	"Aorangi"	954	4	5117.00
592100	"Strowan"	920	2	4134.00
592200	"Merivale"	941	3	3118.00
592300	"Rutland"	923	2	5019.00
592401	"St Albans West"	980	6	2650.00
592402	"St Albans East"	1016	7	4545.00
592500	"Mairehau"	976	5	2787.00
592600	"Edgeware"	1019	7	3391.00
592701	"Shirley West"	1045	8	3677.00
592702	"Shirley East"	1030	8	3442.00
592811	"Burwood"	959	4	2896.00
592812	"Dallington"	970	5	3400.00
592820	"Travis"	950	4	2363.00
592900	"Avondale"	932	3	4435.00
593000	"Chisnall"	1016	7	2795.00
593100	"Aranui"	1174	10	4676.00
593200	"North Richmond"	968	5	2859.00
593300	"South Richmond"	1101	9	2373.00
593400	"Avonside"	1057	9	3170.00
593501	"Linwood"	1109	10	4269.00
593502	"Phillipstown"	1109	10	3413.00
593600	"North Linwood"	1055	9	2424.00
593700	"East Linwood"	1067	9	1894.00
593800	"Bexley"	1061	9	3666.00
593900	"Bromley"	1050	8	3017.00
594010	"Woolston West"	1039	8	3140.00
594020	"Ferrymead"	1053	8	1884.00
594100	"Woolston South"	1058	9	2270.00
594200	"Ensors"	1065	9	3393.00
594300	"Opawa"	960	4	3373.00
594400	"St Martins"	933	3	4269.00
594500	"Waltham"	1104	9	925.00
594600	"Sydenham"	1069	9	5195.00
594700	"Addington"	1088	9	2769.00
594800	"Barrington North"	993	6	5041.00
594900	"Barrington South"	947	4	2843.00
595000	"Spreydon"	1015	7	3346.00
595100	"Hoon Hay"	937	3	2893.00
595200	"Hoon Hay South"	917	2	1863.00
595300	"Hillmorton"	1023	7	4676.00
595400	"Somerfield"	961	5	3459.00
595500	"Beckenham"	924	2	2378.00
595600	"North Beach"	1007	7	4430.00
595700	"Rawhiti"	1014	7	4156.00
595800	"New Brighton"	1047	8	2567.00
595900	"South Brighton"	956	4	3795.00
596000	"Mt Pleasant"	881	1	3794.00
596101	"Avon-Heathcote Estuary"	0	0	0.00
596102	"Moncks Bay"	902	1	3311.00
596200	"Sumner"	934	3	3712.00
596400	"Lyttelton"	968	5	3091.00
596502	"Diamond Harbour"	936	3	1071.00
596503	"Governors Bay"	883	1	704.00
596504	"Quail Island"	0	0	0.00
596600	"Port Levy"	1000	6	81.00
596800	"Akaroa"	957	4	642.00
596900	"Okains Bay"	965	5	1085.00
597000	"Chatham Islands"	0	0	730.00
597100	"Little River"	963	5	858.00
597200	"Lincoln"	955	4	2318.00
597300	"Leeston"	934	3	1232.00
597400	"Southbridge"	948	4	674.00
597501	"Ellesmere"	923	2	5371.00
597502	"Rolleston"	941	3	1066.00
597503	"Dunsandel"	934	3	387.00
597600	"Methven Community"	944	3	1073.00
597711	"Fairton"	897	1	1058.00
597712	"Plains Railway"	924	2	333.00
597720	"Mt Somers"	926	2	2292.00
597730	"Hinds"	924	2	3291.00
597741	"Chertsey"	929	2	1854.00
597742	"Rakaia"	998	6	882.00
597810	"Allenton"	934	3	5134.00
597820	"Central Ashburton West"	972	5	1099.00
597830	"Netherby"	1015	7	1561.00
597840	"Central Ashburton East"	1005	7	1583.00
597850	"Hampstead"	1002	6	2432.00
597860	"Tinwald"	959	4	2585.00
598000	"Winchester"	977	5	235.00
598201	"Fairview-Scarborough"	920	2	492.00
598202	"Otipua Creek-Washdyke Flat"	879	1	404.00
598311	"Ben McLeod"	963	5	96.00
598312	"Orari"	953	4	3738.00
598313	"Levels"	921	2	3303.00
598314	"Pareora"	1045	8	501.00
598320	"Pleasant Point"	955	4	1222.00
598500	"Geraldine"	982	6	2232.00
598600	"Temuka"	1006	7	3981.00
598700	"Washdyke"	966	5	999.00
598800	"Waimataitai"	1026	8	1252.00
598900	"Marchwiel"	1014	7	3664.00
599000	"Maori Park"	963	5	1093.00
599100	"Highfield"	939	3	3432.00
599200	"Glenwood"	969	5	1722.00
599300	"Gleniti"	896	1	1917.00
599400	"Fraser Park"	966	5	2916.00
599500	"Seaview"	1045	8	2643.00
599600	"Watlington"	1005	7	2327.00
599700	"Parkside"	1042	8	2528.00
599800	"Timaru Gardens"	1053	8	1701.00
599900	"Redruth"	1080	9	80.00
600100	"Twizel Community"	1038	8	1179.00
600200	"Fairlie"	979	5	845.00
600312	"Mt Cook"	987	6	279.00
600320	"Lake Tekapo"	944	3	294.00
600321	"Lake Alexandrina"	0	0	0.00
600322	"Inland Water-Lake Tekapo"	0	0	0.00
600323	"Mackenzie"	949	4	1480.00
600410	"Waihao"	946	4	4478.00
600420	"St Andrews"	975	5	189.00
600500	"Waimate"	1043	8	2952.00
600600	"Weston"	930	2	731.00
600811	"Pukeuri"	944	3	204.00
600812	"Ardgowan"	904	1	463.00
600813	"Cape Wanbrow"	937	3	258.00
600822	"Duntroon"	1036	8	120.00
600824	"Kurow"	956	4	412.00
600825	"Aviemore"	952	4	629.00
600826	"Maheno"	947	4	3807.00
600827	"Omarama"	943	3	356.00
600828	"Kakanui"	1018	7	428.00
600830	"Otematata"	957	4	361.00
600840	"Hampden"	1022	7	308.00
601010	"Oamaru North"	1020	7	3241.00
601020	"Orana Park"	1015	7	2755.00
601030	"Oamaru Central"	1016	7	2680.00
601040	"Oamaru South"	970	5	3085.00
601200	"Palmerston"	1009	7	905.00
601301	"Waihemo"	947	4	719.00
601302	"Hyde"	948	4	83.00
601400	"Waikouaiti"	979	5	1169.00
601500	"Aramoana"	1041	8	250.00
601602	"Waitati"	970	5	530.00
601603	"Evansdale"	969	5	1139.00
601604	"Karitane"	1074	9	443.00
601605	"Warrington"	1013	7	410.00
601700	"Nenthorn"	925	2	111.00
601900	"Fairfield"	903	1	2103.00
602000	"Brighton"	988	6	1512.00
602100	"Waldronville"	928	2	595.00
602200	"Outram"	940	3	635.00
602300	"Middlemarch"	984	6	202.00
602411	"Wyllies Crossing"	903	1	267.00
602412	"Wingatui"	925	2	959.00
602421	"Kaikorai Hill"	902	1	391.00
602422	"Kaikorai Lagoon"	892	1	440.00
602500	"Momona"	920	2	2278.00
602600	"Silverpeaks"	929	2	453.00
602800	"Fryatt"	1039	8	31.00
602900	"High St-The Oval"	1101	9	1721.00
603000	"High St-Stuart St"	1041	8	2536.00
603100	"Stuart St-Frederick St"	1060	9	2379.00
603210	"Opoho"	948	4	1281.00
603220	"Forrester Park"	978	5	845.00
603300	"North-East Valley"	1031	8	4530.00
603400	"Pine Hill"	1028	8	2412.00
603500	"Woodhaugh"	1000	6	756.00
603601	"North Dunedin"	1069	9	2977.00
603602	"Otago University"	1082	9	4600.00
603710	"Maori Hill"	914	2	1994.00
603720	"Balmacewen"	978	5	715.00
603810	"Glenleith"	911	1	591.00
603820	"Helensburgh"	901	1	1039.00
603910	"Wakari"	994	6	3174.00
603920	"Halfway Bush"	1020	7	2187.00
603930	"Brockville"	1052	8	3469.00
604010	"Roslyn North"	933	3	1780.00
604020	"Roslyn South"	925	2	2415.00
604110	"Mornington"	967	5	3497.00
604120	"Belleknowes"	925	2	1780.00
604130	"Kenmure"	931	3	1886.00
604210	"Caversham"	1042	8	5334.00
604221	"Corstorphine West"	1166	10	586.00
604222	"Corstorphine East"	935	3	906.00
604300	"Caledonian"	1039	8	6.00
604410	"South Dunedin"	1150	10	2516.00
604420	"Forbury"	1104	9	969.00
604500	"St Clair"	1019	7	4314.00
604611	"Musselburgh"	956	4	2914.00
604612	"Andersons Bay"	920	2	2559.00
604620	"Vauxhall"	906	1	4017.00
604710	"St Leonards-Blanket Bay"	907	1	749.00
604720	"Ravensbourne"	989	6	1385.00
604810	"Inner Peninsula"	943	3	949.00
604821	"Raynbirds Bay"	944	3	155.00
604822	"Macandrew Bay"	917	2	1154.00
604830	"Broad Bay-Portobello"	957	4	1202.00
604901	"Taiaroa-Cape Saunders"	1017	7	538.00
604902	"Sandymount"	936	3	147.00
605100	"Sawyers Bay"	966	5	1348.00
605200	"Port Chalmers"	1076	9	1504.00
605400	"St Kilda West"	978	5	1927.00
605500	"St Kilda Central"	1046	8	1728.00
605600	"St Kilda East"	1022	7	2535.00
605800	"Green Island Central"	988	6	2486.00
605910	"Abbotsford"	939	3	1706.00
605920	"Concord"	1014	7	2139.00
606100	"Mosgiel East"	1006	7	3668.00
606210	"Mosgiel South"	968	5	2602.00
606220	"East Taieri"	897	1	1279.00
606300	"Bush Road"	979	5	2357.00
606500	"Benhar"	1024	7	118.00
606600	"Stirling"	937	3	321.00
606700	"Bruce"	953	4	2706.00
606800	"Milton"	1020	7	2016.00
606900	"Kaitangata"	1043	8	863.00
607000	"Clinton"	970	5	345.00
607100	"Kaka Point"	988	6	253.00
607200	"Owaka"	1003	6	401.00
607300	"Clutha"	934	3	3428.00
607400	"Balclutha"	966	5	4138.00
607501	"Teviot"	991	6	1172.00
607502	"Tuapeka"	943	3	1994.00
607600	"Tapanui"	973	5	884.00
607700	"Lawrence"	1007	7	539.00
607800	"Roxburgh"	999	6	740.00
607900	"Ranfurly"	986	6	846.00
608000	"Maniototo"	937	3	1014.00
608100	"Naseby"	1008	7	110.00
608301	"Hawea"	942	3	1119.00
608302	"Dunstan"	928	2	2994.00
608303	"Clyde"	960	4	849.00
608500	"Alexandra"	950	4	4616.00
608600	"Cromwell"	999	6	2613.00
608700	"Frankton"	935	3	1264.00
608800	"Wanaka"	942	3	2133.00
609011	"Milford"	1029	8	170.00
609012	"Glenorchy"	998	6	362.00
609022	"Kelvin Heights"	892	1	695.00
609023	"Sunshine Bay"	923	2	1571.00
609024	"Matukituki"	902	1	366.00
609025	"Skippers"	893	1	1385.00
609200	"Arrowtown"	943	3	1429.00
609301	"Queenstown Bay"	960	4	1861.00
609302	"Earnslaw"	960	4	2100.00
609400	"Balfour Community"	1007	7	137.00
609500	"Riversdale Community"	935	3	367.00
609600	"Lumsden Community"	1013	7	504.00
609700	"Edendale Community"	945	4	566.00
609800	"Wyndham"	995	6	638.00
609911	"Makarewa North"	912	2	292.00
609912	"Makarewa"	931	3	1275.00
609913	"Bay Road West"	929	2	168.00
609914	"Mill Road-Woodend"	938	3	585.00
609921	"Bushy Point"	895	1	213.00
609922	"Otatara"	901	1	2298.00
610010	"Charlton"	908	1	515.00
610020	"Waikaia"	931	3	1781.00
610031	"Kaweku"	915	2	500.00
610032	"Chatton"	922	2	1735.00
610033	"Kaiwera"	915	2	925.00
610040	"Hokonui"	927	2	2359.00
610051	"Waianiwa"	917	2	2032.00
610052	"Oreti Beach"	966	5	470.00
610061	"Dacre"	909	1	1714.00
610062	"Myross Bush"	893	1	449.00
610072	"Waituna"	929	2	1790.00
610073	"Woodlands"	919	2	297.00
610074	"Greenhills"	980	6	803.00
610075	"Tiwai Point"	0	0	0.00
610080	"Toetoes"	945	4	1839.00
610090	"Wallacetown"	931	3	681.00
610210	"North Gore"	973	5	1865.00
610220	"East Gore"	1016	7	1599.00
610230	"Central Gore"	994	6	883.00
610240	"West Gore"	960	4	2938.00
610250	"South Gore"	1007	7	882.00
610400	"Mataura"	1030	8	1937.00
610500	"Winton"	965	5	2191.00
610601	"Grasmere"	980	6	3559.00
610602	"Waikiwi"	939	3	1840.00
610700	"Rosedale"	907	1	3942.00
610800	"Gladstone-Avenal"	940	3	4109.00
610900	"Windsor"	968	5	3263.00
611001	"Waverley-Glengarry"	1035	8	2403.00
611002	"Hawthorndale"	1005	7	2410.00
611100	"Richmond"	992	6	3054.00
611210	"Otakaro Park"	1056	9	589.00
611220	"Crinan"	1194	10	1773.00
611300	"West Invercargill"	1252	10	216.00
611400	"Georgetown"	1053	8	2571.00
611500	"Newfield-Rockdale"	1003	6	3091.00
611601	"Heidelberg"	1064	9	3396.00
611602	"Strathern"	1042	8	2549.00
611700	"Appleby-Kew"	1069	9	2131.00
611800	"Kingswell-Clifton"	1038	8	3758.00
611900	"Tisbury"	931	3	210.00
612100	"Bluff"	1098	9	2084.00
612200	"Nightcaps"	1065	9	396.00
612300	"Ohai"	1219	10	512.00
612400	"Te Anau"	953	4	1783.00
612500	"Tuatapere"	1004	7	739.00
612600	"Otautau"	1004	7	813.00
612711	"Mararoa River"	921	2	1264.00
612712	"Manapouri"	935	3	216.00
612713	"Mossburn"	943	3	274.00
612720	"Wairio"	948	4	922.00
612730	"Te Waewae"	977	5	1548.00
612740	"Fairfax"	924	2	1932.00
612801	"Riverton East"	1067	9	531.00
612802	"Riverton West"	1047	8	1299.00
612900	"Fiordland"	962	5	31.00
613000	"Stewart Island"	0	0	415.00
614000	"Kermadec Island"	0	0	4.00
614502	"Inlet-Hokianga Harbour"	0	0	0.00
614503	"Three Kings Islands"	0	0	0.00
614504	"Oceanic-Northland Region"	0	0	0.00
614601	"Inlet-Rangaunu Harbour"	0	0	0.00
614602	"Inlet-Doubtless Bay"	0	0	0.00
614700	"Inlet-Whangaroa Harbour"	0	0	17.00
614800	"Inlet-Bay of Islands"	0	0	137.00
615100	"Inlet-Whangarei District"	0	0	32.00
615301	"Inlet-Port Whangarei"	0	0	12.00
615302	"Inlet-Mangawhai Harbour"	0	0	0.00
615800	"Mokohinau Island"	0	0	0.00
615900	"Little Barrier Island"	0	0	2.00
616001	"Kaikoura & Rangiahua Islands"	0	0	21.00
616002	"Inlet-Port Fitzroy"	0	0	17.00
616100	"Cape Barrier"	0	0	0.00
616200	"Rakitu Island"	0	0	5.00
616300	"Browns Island"	0	0	0.00
616400	"Aiguilles Island"	0	0	0.00
617000	"Inlet-Kaipara Harbour North"	0	0	0.00
617101	"Inlet-Kaipara Harbour South"	0	0	0.00
617102	"Inlet-Kaipara River"	0	0	0.00
617200	"Inlet-Takapuna Head"	0	0	0.00
617400	"Inlet-Hobson Bay"	0	0	0.00
617500	"Oceanic-Auckland Region East"	0	0	3.00
617601	"Inlet-Manukau Harbour"	866	1	62.00
617602	"Oceanic-Auckland Region West"	0	0	0.00
617700	"Inlet-Tamaki"	0	0	17.00
617800	"Inlet-Waiuku River"	0	0	0.00
617900	"Inlet-Waitemata Harbour"	0	0	487.00
618300	"Te Motu Island"	0	0	0.00
618400	"Motiti Island"	0	0	56.00
618500	"Mayor Island"	0	0	2.00
619000	"Inlet-Raglan Harbour"	0	0	0.00
619101	"Inlet-Aotea Harbour North"	0	0	0.00
619102	"Inlets-Otorohanga District"	0	0	0.00
619201	"Inlet-Waitomo District"	0	0	0.00
619202	"Oceanic-Waikato Region West"	0	0	0.00
619301	"Inlets-Thames Coromandel Distr"	0	0	17.00
619302	"Islands-Thames Coromandel Dist"	0	0	8.00
619303	"Bays-Thames Coromandel Distric"	0	0	1.00
619400	"Oceanic-Waikato Region East"	0	0	0.00
619500	"Inlet-Firth of Thames"	0	0	0.00
619701	"Moutohora Island"	0	0	0.00
619702	"Oceanic-Bay of Plenty Region"	0	0	2.00
619900	"White Island"	0	0	0.00
620000	"Inland Water-Lake Taupo"	0	0	2.00
620400	"Oceanic-Gisborne District"	0	0	7.00
620901	"Inlet-Port Napier"	0	0	23.00
620902	"Oceanic-Hawkes Bay Region"	0	0	0.00
621401	"Port-Taranaki"	0	0	6.00
621402	"Oceanic-Taranaki Region"	0	0	0.00
621500	"Oil Rig-Taranaki"	0	0	14.00
622000	"Oceanic-Tararua Constituency"	0	0	0.00
622100	"Inlet-Wellington Harbour"	0	0	82.00
622201	"Inlet-Porirua Harbour"	0	0	49.00
622202	"Oceanic-Wellington Region"	0	0	3.00
622700	"Oceanic-Manawatu Wanganui Regi"	0	0	0.00
623801	"Inlet-Tasman Bay"	1043	8	94.00
623803	"Oceanic-Tasman Region"	0	0	7.00
623804	"Oceanic-Nelson Region"	0	0	39.00
623805	"Oceanic-Marlborough Region"	0	0	0.00
623806	"Oceanic-Canterbury Region Nort"	0	0	0.00
623900	"Inlet-Ligar Bay"	0	0	0.00
624100	"Inlet-Buller River"	0	0	0.00
624600	"Oceanic-West Coast Region"	0	0	19.00
625101	"Inlet-Port Lyttelton"	0	0	49.00
625102	"Inlet-Banks Peninsula Bays"	0	0	0.00
625103	"Oceanic-Canterbury Region Sout"	0	0	0.00
625200	"Oceanic-Chatham Islands"	0	0	0.00
625300	"Inlet-Port Timaru"	0	0	153.00
625800	"Inlet-Otago Harbour"	0	0	10.00
625901	"Inlet-Dunedin City Bays"	0	0	0.00
625902	"Oceanic-Otago Region"	0	0	0.00
626000	"Inlet-Port Oamaru"	0	0	0.00
626100	"Inlet-Milford Sound"	0	0	29.00
626500	"Dog Island"	0	0	0.00
626600	"Campbell Island"	0	0	0.00
626700	"Centre Island"	0	0	0.00
626801	"Inlet-Bluff Harbour"	0	0	0.00
626802	"Inlet-New River Estuary"	0	0	0.00
626900	"Oceanic-Oil Rigs"	0	0	0.00
627000	"Inlet-Jacobs River Estuary"	0	0	0.00
627200	"Oceanic-Southland Region"	1029	8	50.00
628000	"Ross Dependency"	0	0	0.00
666666	"NZ Economic Zone"	0	0	0.00
